No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitalty,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type
#D071,Delta Pidgey,Dark,Dragon,3,2,4,2,4,1,3,1,3,1,3,Intimidate,Early Bird,Marvel Scale,,Yes,,Beginner,
#D072,Delta Pidgeotto,Dark,Dragon,4,2,4,2,5,2,4,2,4,2,4,Intimidate,Early Bird,Marvel Scale,,Yes,,Amateur,
#D073,Delta Pidgeot,Dark,Dragon,5,2,5,3,6,2,5,2,5,2,5,Intimidate,Early Bird,Marvel Scale,,,Yes,Ace,
#D074,Delta Diglett,Ice,Normal,3,2,4,3,6,1,3,1,3,1,3,Snow Cloak,Ice Cleats,Fur Coat,,Yes,,Beginner,
#D075,Delta Dugtrio,Ice,Normal,4,3,6,3,7,2,4,2,4,2,5,Snow Cloak,Ice Cleats,Fur Coat,,,,Amateur,
#D076,Delta Growlithe,Normal,Dragon,3,2,5,2,5,2,4,2,5,2,4,Inner Focus,Intimidate,Multiscale,,Yes,,Beginner,
#D077,Delta Arcanine,Normal,Dragon,4,3,6,3,6,2,5,3,6,2,5,Inner Focus,Intimidate,Multiscale,,,,Ace,
#D078,Delta Geodude,Psychic,Rock,3,2,5,1,3,3,6,1,3,1,3,Regenerator,Sap Sipper,Magic Bounce,,Yes,,Beginner,
#D079,Delta Graveler,Psychic,Rock,4,3,6,1,3,3,6,2,4,2,4,Regenerator,Sap Sipper,Magic Bounce,,Yes,,Amateur,
#D080,Delta Golem,Psychic,Rock,5,3,7,2,4,3,7,2,4,2,4,Regenerator,Sap Sipper,Magic Bounce,,,,Ace,
#D081,Delta Tentacool,Grass,Poison,3,1,3,2,5,1,3,2,4,3,6,Regenerator,Poison Touch,Overgrow,,Yes,,Beginner,
#D082,Delta Tentacruel,Grass,Poison,5,2,5,3,6,2,4,2,5,3,7,Regenerator,Poison Touch,Overgrow,,,,Amateur,
#D083,Delta Doduo,Psychic,,3,2,5,2,5,2,4,1,3,1,3,Compound Eye,Trace,Psycho Call,,Yes,,Beginner,
#D084,Delta Dodrio,Psychic,,4,3,6,3,6,2,5,2,4,2,4,Compound Eye,Trace,Psycho Call,,,,Amateur,
#D085,Delta Tangela,Ground,,3,2,4,2,4,3,6,3,6,1,3,Dry Skin,Sand Force,Rough Skin,,Yes,,Amateur,
#D086,Delta Tangrowth,Ground,Fighting,5,3,6,2,4,3,7,3,6,2,4,Dry Skin,Sand Force,Rough Skin,,,,Ace,
#D087,Delta Ditto,Normal,,4,2,4,2,4,2,4,2,4,2,4,Protean,,,,,,Amateur,
#D088,Delta Kabuto,Bug,Dark,3,2,5,2,4,2,5,2,4,2,4,Swarm,Unnerve,Tough Claws,,Yes,,Beginner,
#D089,Delta Kabutops,Bug,Dark,4,3,6,2,5,3,6,2,4,2,5,Swarm,Unnerve,Tough Claws,,,,Ace,
#D090,Delta Dratini,Electric,Water,3,2,4,2,4,2,4,2,4,2,4,Swift Swim,,Volt Absorb,,Yes,,Amateur,
#D091,Delta Dragonair,Electric,Water,6,2,5,2,5,2,4,2,5,2,5,Swift Swim,,Volt Absorb,,Yes,,Ace,
#D092,Delta Dragonite,Electric,Water,6,3,7,2,5,3,6,3,6,3,6,Swift Swim,,Volt Absorb,,,,Master,
#D093,Delta Hoothoot,Ice,Flying,3,1,3,1,3,1,3,2,4,2,4,Snow Cloak,Keen Eye,No Guard,,Yes,,Beginner,
#D094,Delta Noctowl,Ice,Flying,5,2,5,2,5,2,4,2,5,3,6,Snow Cloak,Keen Eye,No Guard,,,,Amateur,
#D095,Delta Chinchou,Ghost,Fire,3,1,3,2,4,1,3,2,4,2,4,Flash Fire,Illuminate,Levitate,,Yes,,Beginner,
#D096,Delta Lanturn,Ghost,Fire,6,2,4,2,4,2,4,2,5,2,5,Flash Fire,Illuminate,Levitate,,,,Amateur,
#D097,Delta Pichu,Flying,Fairy,3,1,3,2,4,1,2,1,3,1,3,Cute Charm,Cloud Nine,Gale Wings,,Yes,,Starter,
#D098,Delta Pikachu,Flying,Fairy,4,2,4,2,5,1,3,2,4,1,3,Cute Charm,Cloud Nine,Gale Wings,,Yes,,Beginner,
#D099,Delta Raichu,Flying,Fairy,5,2,5,3,6,2,4,2,5,2,5,Cute Charm,Cloud Nine,Gale Wings,,,,Amateur,
#D100,Delta Aipom,Ghost,Normal,3,2,5,2,5,2,4,1,3,2,4,Cursed Body,Rattled Body,Technician,,Yes,,Beginner,
#D101,Delta Ambipom,Ghost,Normal,4,3,6,3,6,2,4,2,4,2,4,Cursed Body,Infiltrator,Technician,,,,Amateur,
#D102,Delta Yanma,Grass,Flying,3,2,4,3,6,2,4,2,5,2,4,Adaptability,Leaf Guard,Natural Cure,,Yes,,Amateur,
#D103,Delta Yanmega,Grass,Flying,4,2,5,3,6,2,5,3,6,2,4,Adaptability,Chlorophyll,Natural Cure,,,,Ace,
#D104,Delta Girafarig,Steel,Poison,4,2,5,2,5,2,4,2,5,2,4,Anger Point,Stench,Intimidate,,,Yes,Amateur,
#D105,Delta Dunsparce,Water,Bug,5,2,5,2,4,2,5,2,4,2,4,Hyper Cutter,Swift Swim,Skill Link,,,,Amateur,
#D106,Delta Shuckle,Fighting,Steel,4,1,2,1,2,5,10,1,2,5,10,Sturdy,No Guard,Iron Barbs,,,,Amateur,
#D107,Delta Remoraid,Fire,,3,2,4,2,4,1,3,2,4,1,3,Heatproof,White Smoke,Contrary,,Yes,,Beginner,
#D108,Delta Octillery,Fire,,4,3,6,2,4,2,5,3,6,2,5,Suction Cups,Sniper,Moody,,,,Amateur,
#D109,Delta Elekid,Rock,,3,2,4,2,5,1,3,2,4,2,4,Inner Focus,,Battle Armor,,Yes,,Beginner,
#D110,Delta Electabuzz,Rock,,4,2,5,3,6,2,4,3,6,2,5,Inner Focus,,Battle Armor,,Yes,,Amateur,
#D111,Delta Electivire,Rock,Dragon,5,3,7,3,6,2,4,3,6,2,5,Shadow Dance,,Sturdy,,,,Ace,
#D112,Delta Magby,Water,,3,2,4,2,4,1,3,1,3,1,3,Swift Swim,,Rain Dish,,Yes,,Beginner,
#D113,Delta Magmar,Water,,4,3,6,2,5,2,4,3,6,2,5,Swift Swim,,Rain Dish,,Yes,,Amateur,
#D114,Delta Magmortar,Water,Steel,5,3,6,2,5,2,4,3,7,3,6,Mega Launcher,,Filter,,,,Ace,
#D115,Delta Lotad,Psychic,Water,3,1,3,1,3,1,3,1,3,2,4,Magic Bounce,Synchronize,Unaware,,Yes,,Starter,
#D116,Delta Lombre,Psychic,Water,4,2,4,2,4,2,4,2,4,2,5,Magic Bounce,Synchronize,Unaware,,Yes,,Beginner,
#D117,Delta Ludicolo,Psychic,Water,5,2,5,2,5,2,5,2,5,3,6,Magic Bounce,Synchronize,Unaware,,,,Amateur,
#D118,Delta Seedot,Electric,,3,1,3,1,3,2,4,1,3,1,3,Volt Absorb,Minus,Static,,Yes,,Starter,
#D119,Delta Nuzleaf,Electric,,4,2,5,2,4,2,4,2,4,1,3,Volt Absorb,Minus,Hubris,,Yes,,Beginner,
#D120,Delta Shiftry,Electric,,5,3,6,2,5,2,4,2,5,2,4,Volt Absorb,Minus,Hubris,,,,Amateur,
#D121,Delta Sableye,Fire,Rock,4,2,5,2,4,2,5,2,4,2,4,Solid Rock,Weak Armor,Unburden,,,Yes,Amateur,
#D122,Delta Mawile,Grass,Dark,4,2,5,2,4,2,5,2,4,2,4,Serene Grace,Aroma Veil,Immunity,,,Yes,Amateur,
#D123,Delta Aron,Fire,Steel,3,2,5,1,3,3,6,1,3,1,3,Flame Body,Drought,Heavy Metal,,Yes,,Amateur,
#D124,Delta Lairon,Fire,Steel,4,2,5,1,3,3,7,2,4,2,4,Flame Body,Drought,Heavy Metal,,Yes,,Amateur,
#D125,Delta Aggron,Fire,Steel,5,3,6,2,4,4,9,2,4,2,4,Flame Body,Drought,Heavy Metal,,,,Pro,
#D126,Delta Meditite,Fairy,,3,1,3,2,4,2,4,1,3,2,4,Sap Sipper,,Athenian,,Yes,,Beginner,
#D127,Delta Medicham,Fairy,Ground,4,2,4,2,5,2,5,2,4,2,5,Sap Sipper,,Athenian,,,Yes,Amateur,
#D128,Delta Numel,Poison,,3,2,4,1,3,1,3,2,4,2,4,Venomous,Poison Point,Liquid Ooze,,Yes,,Beginner,
#D129,Delta Camerupt,Poison,,4,3,6,1,3,2,5,3,6,2,5,Venomous,Poison Point,Liquid Ooze,,,Yes,Amateur,
#D130,Delta Plusle,Fire,Fairy,4,2,4,3,6,1,3,2,5,2,5,Cute Charm,,Pixilate,,,,Starter,
#D131,Delta Minun,Ice,Fairy,4,1,3,3,6,2,4,2,5,2,5,Cute Charm,,Pixilate,,,,Starter,
#D132,Delta Wailmer,Ice,Flying,5,2,5,2,4,1,3,2,5,1,3,Wonder Skin,Refrigerate,Snow Cloak,,Yes,,Amateur,
#D133,Delta Wailord,Ice,Flying,11,2,5,2,4,2,4,2,5,2,4,Wonder Skin,Refrigerate,Snow Cloak,,,,Ace,
#D134,Delta Feebas,Ghost,,3,1,2,2,5,1,3,1,2,2,4,Rattled,Run Away,Spirit Call,,Yes,,Starter,
#D135,Delta Milotic,Ghost,,7,2,4,2,5,2,5,3,6,3,6,Regenerator,Defiant,Cursed Body,,,Yes,Ace,
#D136,Delta Clamperl,Dragon,,3,2,4,1,3,2,5,2,5,2,4,Pressure,,Battle Armor,,Yes,,Beginner,
#D137,Delta Huntail,Dragon,Dark,4,3,6,2,4,3,6,3,6,2,5,Pressure,,Strong Jaws,,,,Amateur,
#D138,Delta Gorebyss,Dragon,Fairy,4,2,5,2,4,3,6,3,6,2,5,Pressure,,Marvel Scale,,,,Amateur,
#D139,Delta Beldum (Spider),Ground,Bug,3,2,4,1,3,2,5,1,3,2,4,Poison Touch,Immunity,Poison Heal,,Yes,,Beginner,N
#D140,Delta Metang (Spider),Ground,Bug,4,2,5,2,4,3,6,2,4,2,5,Poison Touch,Immunity,Poison Heal,,Yes,,Amateur,N
#D141,Delta Metagross (Spider),Ground,Bug,5,3,7,2,5,3,7,3,6,2,5,Poison Touch,Immunity,Poison Heal,,,Yes,Pro,N
#D142,Delta Beldum (Ruin),Rock,Grass,3,2,4,1,3,2,5,1,3,2,4,Sturdy,,Rock Head,,Yes,,Beginner,N
#D143,Delta Metang (Ruin),Rock,Grass,4,2,5,2,4,3,6,2,4,2,5,Sturdy,,Rock Head,,Yes,,Amateur,N
#D144,Delta Metagross (Ruin),Rock,Grass,5,3,7,2,5,3,7,3,6,2,5,Sturdy,,Rock Head,,,Yes,Pro,N
#D145,Delta Buneary,Fighting,,3,2,4,2,5,1,3,1,3,2,4,Pickpocket,Frisk,Limber,,Yes,,Starter,
#D146,Delta Lopunny,Fighting,,4,2,5,3,6,2,5,2,4,3,6,Unburden,Inner Focus,Limber,,,Yes,Amateur,
#D147,Delta Riolu,Dark,,3,2,5,2,4,1,3,1,3,1,3,Justified,Pressure,Mummy,,Yes,,Amateur,
#D148,Delta Lucario,Dark,Ground,4,3,6,2,5,2,5,3,6,2,5,Justified,Pressure,Mummy,,,Yes,Ace,
#D149,Delta Croagunk,Fire,,3,2,4,2,4,1,3,2,4,1,3,Magma Armor,Blaze,Hustle,,Yes,,Beginner,
#D150,Delta Toxicroak,Fire,,4,3,6,3,6,2,4,3,6,2,4,Magma Armor,Blaze,Hustle,,,,Amateur,
#D151,Delta Venipede,Rock,Fire,3,2,4,2,4,2,4,1,3,1,3,Weak Armor,Magma Armor,Mold Breaker,,Yes,,Amateur,
#D152,Delta Whirlipede,Rock,Fire,4,2,4,2,4,3,6,1,3,2,5,Weak Armor,Magma Armor,Mold Breaker,,Yes,,Ace,
#D153,Delta Scolipede,Rock,Fire,5,2,5,3,6,2,5,1,3,2,4,Weak Armor,Magma Armor,Mold Breaker,,,,Pro,
#D154,Delta Petilil (Water),Water,Fire,3,1,3,1,3,2,4,2,5,2,4,Storm Drain,Flash Fire,Regenerator,,Yes,,Beginner,F
#D155,Delta Lilligant (Water),Water,Fire,4,2,4,2,5,2,5,3,6,2,5,Storm Drain,Flash Fire,Regenerator,,,,Amateur,F
#D156,Delta Petilil (Fairy),Fairy,Flying,3,1,3,1,3,2,4,2,5,2,4,Serene Grace,Synchronize,Healer,,Yes,,Beginner,F
#D157,Delta Lilligant (Fairy),Fairy,Flying,4,2,4,2,5,2,5,3,6,2,5,Serene Grace,Synchronize,Healer,,,,Amateur,F
#D158,Delta Solosis,Ghost,Rock,3,1,3,1,3,1,3,3,6,2,4,Levitate,Curse Body,Intimidate,,Yes,,Beginner,
#D159,Delta Duosion,Ghost,Rock,4,1,3,1,3,2,4,3,7,2,4,Levitate,Curse Body,Intimidate,,Yes,,Amateur,
#D160,Delta Reuniclus,Ghost,Rock,6,2,4,1,3,2,5,3,7,2,5,Levitate,Curse Body,Intimidate,,,,Ace,
#D161,Delta Darumaka,Dark,Ghost,3,2,5,2,4,2,4,1,2,2,4,Unnerve,,Wonder Skin,,Yes,,Beginner,
#D162,Delta Darmanitan,Dark,Ghost,4,3,7,2,5,2,4,1,3,2,4,Unnerve,,Wonder Skin,,,,Amateur,
#D163,Delta Maractus,Steel,,4,2,5,2,4,2,4,3,6,2,4,Motor Drive,Clear Body,Trace,,,,Amateur,
#D164,Delta Dwebble (Berry),Grass,Poison,3,2,4,2,4,2,5,1,3,1,3,Harvest,Leaf Guard,Chlorophyll,,Yes,,Beginner,
#D165,Delta Crustle (Berry),Grass,Poison,4,3,6,2,4,3,7,2,4,2,5,Harvest,Leaf Guard,Chlorophyll,,,,Amateur,
#D166,Delta Dwebble (Cake),Fairy,Normal,3,2,4,2,4,2,5,1,3,1,3,Own Tempo,Scrappy,Simple,,Yes,,Beginner,
#D167,Delta Crustle (Cake),Fairy,Normal,4,3,6,2,4,3,7,2,4,2,5,Own Tempo,Scrappy,Simple,,,,Amateur,
#D168,Delta Yamask,Steel,Poison,3,1,3,1,3,2,5,2,4,2,4,Aftermath,Infiltrator,Wonder Skin,,Yes,,Amateur,
#D169,Delta Cofagrigus,Steel,Poison,4,2,4,1,3,4,8,3,6,3,6,Aftermath,Infiltrator,Wonder Skin,,,,Pro,
#D170,Delta Emolga,Fire,Dark,4,2,5,3,6,2,4,2,5,2,4,Flash Fire,,Blaze Boost,,,Yes,Amateur,
#D171,Delta Karrablast,Fairy,,3,2,5,2,4,2,4,1,3,2,4,Gluttony,Sweet Veil,Simple,,Yes,,Beginner,
#D172,Delta Escavalier,Fairy,,4,3,7,1,3,3,6,2,4,3,6,Gluttony,Sweet Veil,Simple,,,,Amateur,
#D173,Delta Foongus,Ghost,Dark,3,2,4,1,2,2,4,2,4,2,4,Prankster,,Intimidate,,Yes,,Beginner,
#D174,Delta Amoonguss,Ghost,Dark,4,2,5,1,3,2,5,2,5,2,5,Prankster,,Intimidate,,,,Amateur,
#D175,Delta Litwick,Fairy,Fire,3,1,3,1,3,2,4,2,4,2,4,Flash Fire,Weak Armor,Fairy Aura,,Yes,,Beginner,
#D176,Delta Lampent,Fairy,Fire,4,1,3,2,4,2,4,3,6,2,4,Flash Fire,Weak Armor,Fairy Aura,,Yes,,Amateur,
#D177,Delta Chandelure,Fairy,Fire,5,2,4,2,4,2,5,4,8,2,5,Flash Fire,Weak Armor,Fairy Aura,,,,Pro,
#D178,Delta Axew,Water,,3,2,5,2,4,2,4,1,3,1,3,Strong Jaw,Water Veil,Swift Swim,,Yes,,Amateur,
#D179,Delta Fraxure,Water,,4,3,6,2,4,2,5,1,3,2,4,Strong Jaw,Water Veil,Swift Swim,,Yes,,Ace,
#D180,Delta Haxorus,Water,Steel,5,4,8,3,6,2,5,2,4,2,5,Strong Jaw,Water Veil,Heavy Metal,,,,Pro,
#D181,Delta Golett,Fighting,Steel,3,2,5,1,3,2,4,1,3,2,5,Iron Fist,Battle Armor,Guts,,Yes,,Amateur,N
#D182,Delta Golurk,Fighting,Steel,4,3,7,2,4,2,5,2,4,2,5,Iron Fist,Battle Armor,Guts,,,,Pro,N
#D183,Delta Heatmor,Steel,Poison,4,3,6,3,6,2,4,2,4,2,4,Liquid Ooze,Sheer Force,Mega Launcher,,,,Amateur,
#D184,Delta Deino,Ground,Poison,3,2,4,1,3,2,4,2,4,2,4,Venomous,,,,Yes,,Amateur,
#D185,Delta Zweilous,Ground,Poison,4,2,5,2,4,2,5,2,4,2,5,Venomous,,,,Yes,,Ace,
#D186,Delta Hydreigon,Ground,Poison,5,3,6,3,6,2,5,3,7,2,4,Intoxicate,,,,,,Pro,
#D187,Delta Larvesta,Dark,Poison,3,2,5,2,4,2,4,2,4,2,4,Defiant,,Absolution,,Yes,,Amateur,
#D188,Delta Volcarona,Dark,Poison,4,2,4,3,6,2,4,3,7,3,6,Levitate,,Absolution,,,,Pro,
#D189,Delta Amaura,Grass,Water,3,2,4,2,4,2,4,2,4,2,4,Friend Guard,,Phototroph,,Yes,,Beginner,
#D190,Delta Aurorus,Grass,Water,6,2,5,2,4,2,5,3,6,2,5,Friend Guard,,Phototroph,,,,Ace,
#D191,Delta Goomy,Ground,Water,3,2,4,1,3,1,3,2,4,2,5,Overcoat,Water Absorb,Gooey,,Yes,,Starter,
#D192,Delta Sliggoo,Ground,Water,4,2,5,2,4,2,4,2,5,3,6,Overcoat,Water Absorb,Gooey,,Yes,,Beginner,
#D193,Delta Goodra,Ground,Water,6,3,6,2,5,2,5,3,6,3,7,Overcoat,Water Absorb,Gooey,,,,Amateur,
#D194,Delta Regirock,Ground,,4,6,6,4,4,10,10,4,4,6,6,Clear Body,,Sturdy,,,,Master,N
#D195,Delta Regice,Water,,4,4,4,4,4,6,6,6,6,10,10,Clear Body,,Ice Body,,,,Master,N
#D196,Delta Registeel,Fire,,4,5,5,4,4,8,8,5,5,8,8,Clear Body,,Light Metal,,,,Master,N
#D197,Delta Meloetta,Dark,Fairy,5,5,5,5,5,5,5,7,7,7,7,Serene Grace,,,,,Yes,Master,N
#D198,Delta Hoopa,Flying,,4,6,6,5,5,4,4,8,8,7,7,Magician,,,,,Yes,Pro,N
